tab 	samples
azimuth	azimuth_dec_correction	bed_dip	bed_dip_direction	citations	dip	geologic_classes	geologic_types	height	lithologies	method_codes	sample	site
333.9	0.0	73.1	301.2	This study	-18	Sedimentary	Sediment Layer	1.2	Sandstone	SO-CMD-NORTH	BRa.1	BRa
346.9	0.0	73.1	301.2	This study	-53	Sedimentary	Sediment Layer	1.4	Sandstone	SO-CMD-NORTH	BRa.2	BRa
41.9	0.0	73.1	301.2	This study	-40	Sedimentary	Sediment Layer	1.7	Sandstone	SO-CMD-NORTH	BRa.3	BRa
23.9	0.0	73.1	301.2	This study	-17	Sedimentary	Sediment Layer	1.9	Sandstone	SO-CMD-NORTH	BRa.4	BRa
316.9	0.0	73.1	301.2	This study	-36	Sedimentary	Sediment Layer	2.1	Sandstone	SO-CMD-NORTH	BRa.5	BRa
270.9	0.0	73.1	301.2	This study	-33	Sedimentary	Sediment Layer	2.7	Sandstone	SO-CMD-NORTH	BRa.6	BRa
116.9	0.0	73.1	301.2	This study	-72	Sedimentary	Sediment Layer	3.8	Sandstone	SO-CMD-NORTH	BRa.7	BRa
46.9	0.0	73.1	301.2	This study	-20	Sedimentary	Sediment Layer	4.2	Sandstone	SO-CMD-NORTH	BRa.8	BRa
28.9	0.0	73.1	301.2	This study	-44	Sedimentary	Sediment Layer	4.7	Sandstone	SO-CMD-NORTH	BRa.9	BRa
349.9	0.0	73.1	301.2	This study	-22	Sedimentary	Sediment Layer	4.9	Sandstone	SO-CMD-NORTH	BRa.10	BRa
8.9	0.0	73.1	301.2	This study	-25	Sedimentary	Sediment Layer	4.6	Sandstone	SO-CMD-NORTH	BRa.11	BRa
10.9	0.0	73.1	301.2	This study	-28	Sedimentary	Sediment Layer	4.85	Sandstone	SO-CMD-NORTH	BRa.12	BRa
293.9	0.0	73.1	301.2	This study	-24	Sedimentary	Sediment Layer	5.2	Sandstone	SO-CMD-NORTH	BRa.13	BRa
96.9	0.0	73.1	301.2	This study	-55	Sedimentary	Sediment Layer	5.8	Sandstone	SO-CMD-NORTH	BRa.14	BRa
76.7	0.0	73.1	301.2	This study	-7	Sedimentary	Sediment Layer	7.1	Sandstone	SO-CMD-NORTH	BRa.15	BRa
115.9	0.0	73.1	301.2	This study	-65	Sedimentary	Sediment Layer	7.7	Sandstone	SO-CMD-NORTH	BRa.16	BRa
229.0	0.0	73.1	301.2	This study	-11	Sedimentary	Sediment Layer	9.3	Sandstone	SO-CMD-NORTH	BRa.17	BRa
349.9	0.0	73.1	301.2	This study	-29	Sedimentary	Sediment Layer	10.4	Sandstone	SO-CMD-NORTH	BRa.18	BRa
319.9	0.0	73.1	301.2	This study	-15	Sedimentary	Sediment Layer	12.7	Sandstone	SO-CMD-NORTH	BRa.19	BRa
126.9	0.0	73.1	301.2	This study	-46	Sedimentary	Sediment Layer	12.9	Sandstone	SO-CMD-NORTH	BRa.20	BRa
31.7	0.0	73.1	301.2	This study	-57	Sedimentary	Sediment Layer	13.2	Sandstone	SO-CMD-NORTH	BRa.21	BRa
114.1	0.0	73.1	301.2	This study	-62	Sedimentary	Sediment Layer	14.2	Sandstone	SO-CMD-NORTH	BRa.22	BRa
222.9	0.0	73.1	301.2	This study	-3	Sedimentary	Sediment Layer	18.9	Sandstone	SO-CMD-NORTH	BRa.23	BRa
115.8	0.0	73.1	301.2	This study	-26	Sedimentary	Sediment Layer	14.7	Sandstone	SO-CMD-NORTH	BRa.24	BRa
125.9	0.0	73.1	301.2	This study	-40	Sedimentary	Sediment Layer	14.9	Sandstone	SO-CMD-NORTH	BRa.25	BRa
134.9	0.0	73.1	301.2	This study	-30	Sedimentary	Sediment Layer	15.9	Sandstone	SO-CMD-NORTH	BRa.26	BRa
188.9	0.0	73.1	301.2	This study	-18	Sedimentary	Sediment Layer	16.2	Sandstone	SO-CMD-NORTH	BRa.27	BRa
253.9	0.0	73.1	301.2	This study	-38	Sedimentary	Sediment Layer	16.7	Sandstone	SO-CMD-NORTH	BRa.28	BRa
273.9	0.0	73.1	301.2	This study	-20	Sedimentary	Sediment Layer	17.1	Sandstone	SO-CMD-NORTH	BRa.29	BRa
255.9	0.0	73.1	301.2	This study	-19	Sedimentary	Sediment Layer	17.9	Sandstone	SO-CMD-NORTH	BRa.31	BRa
226.4	0.0	73.1	301.2	This study	-13	Sedimentary	Sediment Layer	18.2	Sandstone	SO-CMD-NORTH	BRa.32	BRa
227.9	0.0	73.1	301.2	This study	-33	Sedimentary	Sediment Layer	18.5	Sandstone	SO-CMD-NORTH	BRa.33	BRa
328.9	0.0	73.1	301.2	This study	-19	Sedimentary	Sediment Layer	19.3	Sandstone	SO-CMD-NORTH	BRa.34	BRa
115.9	0.0	73.1	301.2	This study	-25	Sedimentary	Sediment Layer	19.8	Sandstone	SO-CMD-NORTH	BRa.35	BRa
226.9	0.0	73.1	301.2	This study	-29	Sedimentary	Sediment Layer	20.3	Sandstone	SO-CMD-NORTH	BRa.36	BRa
321.2	0.0	73.1	301.2	This study	-27	Sedimentary	Sediment Layer	13.63	Sandstone	SO-CMD-NORTH	BRb.1	BRb
342.1	0.0	73.1	301.2	This study	-22	Sedimentary	Sediment Layer	13.68	Sandstone	SO-CMD-NORTH	BRb.2	BRb
338.5	0.0	73.1	301.2	This study	-20	Sedimentary	Sediment Layer	15.09	Sandstone	SO-CMD-NORTH	BRb.3	BRb
321.9	0.0	73.1	301.2	This study	-11	Sedimentary	Sediment Layer	15.2	Sandstone	SO-CMD-NORTH	BRb.4	BRb
41.1	0.0	73.1	301.2	This study	-17	Sedimentary	Sediment Layer	17.68	Sandstone	SO-CMD-NORTH	BRb.5	BRb
357.9	0.0	73.1	301.2	This study	-21	Sedimentary	Sediment Layer	18.35	Sandstone	SO-CMD-NORTH	BRb.6	BRb
152.6	0.0	73.1	301.2	This study	-14	Sedimentary	Sediment Layer	11.67	Sandstone	SO-CMD-NORTH	BRb.7	BRb
194.8	0.0	73.1	301.2	This study	-26	Sedimentary	Sediment Layer	11.67	Sandstone	SO-CMD-NORTH	BRb.8	BRb
329.6	0.0	73.1	301.2	This study	-15	Sedimentary	Sediment Layer	11.97	Sandstone	SO-CMD-NORTH	BRb.9	BRb
325.6	0.0	73.1	301.2	This study	-28	Sedimentary	Sediment Layer	12.22	Sandstone	SO-CMD-NORTH	BRb.10	BRb
165.4	0.0	73.1	301.2	This study	-38	Sedimentary	Sediment Layer	12.28	Sandstone	SO-CMD-NORTH	BRb.11	BRb
159.5	0.0	73.1	301.2	This study	-33	Sedimentary	Sediment Layer	12.35	Sandstone	SO-CMD-NORTH	BRb.12	BRb
329.9	0.0	73.1	301.2	This study	-16	Sedimentary	Sediment Layer	17.53	Sandstone	SO-CMD-NORTH	BRb.13	BRb
327.9	0.0	73.1	301.2	This study	-17	Sedimentary	Sediment Layer	13.65	Sandstone	SO-CMD-NORTH	BRb.14	BRb
256.1	0.0	73.1	301.2	This study	-14	Sedimentary	Sediment Layer	9.21	Sandstone	SO-CMD-NORTH	BRb.15	BRb
14.8	0.0	73.1	301.2	This study	-33	Sedimentary	Sediment Layer	8.66	Sandstone	SO-CMD-NORTH	BRb.16	BRb
31.9	0.0	73.1	301.2	This study	-23	Sedimentary	Sediment Layer	8.43	Sandstone	SO-CMD-NORTH	BRb.17	BRb
344.4	0.0	73.1	301.2	This study	-21	Sedimentary	Sediment Layer	5.58	Sandstone	SO-CMD-NORTH	BRb.18	BRb
28.3	0.0	73.1	301.2	This study	-26	Sedimentary	Sediment Layer	5.41	Sandstone	SO-CMD-NORTH	BRb.19	BRb
36.5	0.0	73.1	301.2	This study	-23	Sedimentary	Sediment Layer	5.35	Sandstone	SO-CMD-NORTH	BRb.20	BRb
294.7	0.0	73.1	301.2	This study	-11	Sedimentary	Sediment Layer	5.32	Sandstone	SO-CMD-NORTH	BRb.21	BRb
332.0	0.0	73.1	301.2	This study	-15	Sedimentary	Sediment Layer	3.7	Sandstone	SO-CMD-NORTH	BRb.22	BRb
313.9	0.0	73.1	301.2	This study	-6	Sedimentary	Sediment Layer	3.27	Sandstone	SO-CMD-NORTH	BRb.23	BRb
305.5	0.0	73.1	301.2	This study	-19	Sedimentary	Sediment Layer	3.05	Sandstone	SO-CMD-NORTH	BRb.24	BRb
305.5	0.0	73.1	301.2	This study	-15	Sedimentary	Sediment Layer	3.02	Sandstone	SO-CMD-NORTH	BRb.25	BRb
311.6	0.0	73.1	301.2	This study	-21	Sedimentary	Sediment Layer	2.92	Sandstone	SO-CMD-NORTH	BRb.26	BRb
335.9	0.0	73.1	301.2	This study	-18	Sedimentary	Sediment Layer	2.42	Sandstone	SO-CMD-NORTH	BRb.27	BRb
