THICKNESS,FACIES,LITHOLOGY,GROUP,FORMATION
0.02,silt,Sandstone,Oronto,Freda
0.05,fn,Siltstone,Oronto,Freda
0.75,mdscb,Sandstone,Oronto,Freda
0.41,cscb,Sandstone,Oronto,Freda
0.09,fn,Siltstone,Oronto,Freda
0.45,cscb,Sandstone,Oronto,Freda
0.2,mdscb,Siltstone,Oronto,Freda
0.2,cscb,Sandstone,Oronto,Freda
0.08,silt,Siltstone,Oronto,Freda
0.14,cs,Sandstone,Oronto,Freda
0.08,silt,Siltstone,Oronto,Freda
0.16,vfs,Sandstone,Oronto,Freda
0.25,silt,Siltstone,Oronto,Freda
0.05,cng,Sandstone,Oronto,Freda
0.08,cscb,Siltstone,Oronto,Freda
0.07,fn,Sandstone,Oronto,Freda
0.06,silt,Siltstone,Oronto,Freda
0.11,cscb,Sandstone,Oronto,Freda
0.14,fncb,Sandstone,Oronto,Freda
0.04,silt,Siltstone,Oronto,Freda
0.16,cscb,Sandstone,Oronto,Freda
0.02,silt,Siltstone,Oronto,Freda
0.1,cscb,Sandstone,Oronto,Freda
0.03,silt,Siltstone,Oronto,Freda
0.35,mdscb,Sandstone,Oronto,Freda
0.2,cs,Siltstone,Oronto,Freda
0.1,cng,Conglomerate,Oronto,Freda
0.2,mdscb,Sandstone,Oronto,Freda
0.08,vfs,Sandstone,Oronto,Freda
0.12,mds,Sandstone,Oronto,Freda
0.09,vfs,Sandstone,Oronto,Freda
0.3,cscb,Sandstone,Oronto,Freda
0.02,silt,Siltstone,Oronto,Freda
0.1,cscb,Sandstone,Oronto,Freda
0.04,silt,Siltstone,Oronto,Freda
0.17,fncb,Sandstone,Oronto,Freda
0.3,fncb,Sandstone,Oronto,Freda
0.05,cng,Conglomerate,Oronto,Freda
0.08,silt,Siltstone,Oronto,Freda
0.13,cs,Sandstone,Oronto,Freda
0.35,silt,Siltstone,Oronto,Freda
0.17,mdscb,Sandstone,Oronto,Freda
0.13,cscb,Sandstone,Oronto,Freda
0.1,fncb,Sandstone,Oronto,Freda
0.18,cscb,Sandstone,Oronto,Freda
0.05,silt,Siltstone,Oronto,Freda
0.2,cscb,Sandstone,Oronto,Freda
0.2,cs,Sandstone,Oronto,Freda
0.01,cng,Conglomerate,Oronto,Freda
0.22,cscb,Sandstone,Oronto,Freda
0.14,cs,Sandstone,Oronto,Freda
0.55,cscb,Sandstone,Oronto,Freda
0.15,silt,Siltstone,Oronto,Freda
0.17,fn,Sandstone,Oronto,Freda
0.13,fn,Sandstone,Oronto,Freda
0.12,silt,Siltstone,Oronto,Freda
0.1,fncb,Sandstone,Oronto,Freda
0.16,silt,Siltstone,Oronto,Freda
0.14,cscb,Sandstone,Oronto,Freda
0.74,cscb,Sandstone,Oronto,Freda
0.35,cscb,Sandstone,Oronto,Freda
0.4,cover,Cover,Oronto,Freda
0.08,silt,Siltstone,Oronto,Freda
0.1,vfs,Sandstone,Oronto,Freda
0.13,cscb,Sandstone,Oronto,Freda
0.06,silt,Siltstone,Oronto,Freda
0.12,cng,Conglomerate,Oronto,Freda
0.1,fn,Sandstone,Oronto,Freda
0.13,silt,Siltstone,Oronto,Freda
0.09,cs,Sandstone,Oronto,Freda
