THICKNESS,FACIES,LITHOLOGY,GROUP,FORMATION
0.9,fncb,Sandstone,Oronto,Freda
0.3,mds,Sandstone,Oronto,Freda
0.4,vfs,Sandstone,Oronto,Freda
1.8,mdscb,Sandstone,Oronto,Freda
1,fncb,Sandstone,Oronto,Freda
1.7,mdscb,Sandstone,Oronto,Freda
0.4,vfs,Sandstone,Oronto,Freda
0.4,fncb,Sandstone,Oronto,Freda
0.1,vfs,Sandstone,Oronto,Freda
0.4,fncb,Sandstone,Oronto,Freda
0.8,vfs,Sandstone,Oronto,Freda
0.15,mdscb,Sandstone,Oronto,Freda
0.4,fn,Sandstone,Oronto,Freda
0.1,vfs,Sandstone,Oronto,Freda
0.2,fncb,Sandstone,Oronto,Freda
1.3,vfs,Sandstone,Oronto,Freda
0.15,vfs,Sandstone,Oronto,Freda
0.4,fn,Sandstone,Oronto,Freda
1,fncb,Sandstone,Oronto,Freda
0.4,mdscb,Sandstone,Oronto,Freda
1.9,fncb,Sandstone,Oronto,Freda
0.15,fncb,Sandstone,Oronto,Freda
1,fncb,Sandstone,Oronto,Freda
0.1,fncb,Sandstone,Oronto,Freda
0.6,fn,Sandstone,Oronto,Freda
0.6,cover,Cover,Oronto,Freda
0.5,vfscb,Sandstone,Oronto,Freda
1.2,fncb,Sandstone,Oronto,Freda
0.1,fncb,Sandstone,Oronto,Freda
0.15,cover,Cover,Oronto,Freda
0.2,fn,Sandstone,Oronto,Freda
0.25,fncb,Sandstone,Oronto,Freda
0.55,fncb,Sandstone,Oronto,Freda
0.65,fn,Sandstone,Oronto,Freda
0.6,fncb,Sandstone,Oronto,Freda
1.1,fncb,Sandstone,Oronto,Freda
