height,age,low_ci,up_ci
1300.0,1085.5631769270249,1084.1018370759944,1087.0169659690173
1310.0,1085.432564307337,1083.2569622847452,1086.874633505324
1320.0,1085.3046992477098,1081.9275305534302,1086.8391397699434
1330.0,1085.179657277439,1081.0525597179546,1086.8264523492992
1340.0,1085.054805977597,1080.3822911955772,1086.8149641508503
1350.0,1084.9296765340484,1079.7781050825577,1086.8054688790692
1360.0,1084.8095061206468,1079.312126130815,1086.7972335291981
1370.0,1084.6881219987554,1078.858319344228,1086.7852694757462
1380.0,1084.577744159673,1078.5126075941007,1086.7723995977901
1390.0,1084.4635079225225,1078.1903654265068,1086.7618365626986
1400.0,1084.3537586454834,1077.8437598244893,1086.7508964892552
1410.0,1084.2467474226455,1077.5630052268264,1086.7414996040561
1420.0,1084.1422112738833,1077.2728507344748,1086.727724346316
1430.0,1084.0345968033587,1076.9677614075613,1086.7131989455672
1440.0,1083.9327292973846,1076.7392565564157,1086.700339288078
1450.0,1083.8383611961806,1076.5305345994234,1086.6913306013146
1460.0,1083.7396705304477,1076.3255999414398,1086.6826298608332
1470.0,1083.6379505225036,1076.1069598521592,1086.6717610617338
1480.0,1083.537231537689,1075.8659404170369,1086.6603977084274
1490.0,1083.4426417515713,1075.657557256598,1086.6537558145938
1500.0,1083.344328602851,1075.3985544056786,1086.641447113855
1510.0,1083.2460387305016,1075.17655233738,1086.6307934109957
1520.0,1083.1456918625524,1074.982764485506,1086.6213841978656
1530.0,1083.0518507178872,1074.810129051521,1086.6114041126975
1540.0,1082.9551399601337,1074.6517627516453,1086.5993945193427
1550.0,1082.8613459171618,1074.5105545399194,1086.5904503756778
1560.0,1082.7662521512398,1074.2971622178006,1086.58089356986
1570.0,1082.6749694156842,1074.1139886262865,1086.5685799679047
1580.0,1082.5875232153542,1073.9280848719038,1086.5613192695623
1590.0,1082.4965499143827,1073.7573613364514,1086.551935778915
1600.0,1082.4090105468335,1073.5683360934959,1086.5372227671855
1610.0,1082.317186975809,1073.4019232439045,1086.5275975208297
1620.0,1082.2307889222375,1073.2554049839773,1086.5160123329897
1630.0,1082.1412518906131,1073.0604870052302,1086.5025286746231
1640.0,1082.0551877059718,1072.9424990478676,1086.492985181813
1650.0,1081.968298954407,1072.7996991818213,1086.4844956993488
1660.0,1081.8799910901218,1072.6291055050394,1086.473137348679
1670.0,1081.7933031303996,1072.4771025981013,1086.4603734044458
1680.0,1081.7103537748628,1072.3445981897012,1086.4520664880522
1690.0,1081.6210895323375,1072.1703680555643,1086.4400151633213
1700.0,1081.5315324062763,1072.0035133024087,1086.4304061849064
1710.0,1081.4496397287746,1071.8846652476584,1086.4212457890305
1720.0,1081.361815612845,1071.7489191503962,1086.4114360906208
1730.0,1081.2793431150958,1071.5918920893575,1086.401736141055
1740.0,1081.1936775736435,1071.4515282129853,1086.3905208203798
1750.0,1081.108961476477,1071.316662830791,1086.3750490033915
1760.0,1081.0259176250324,1071.192729289243,1086.3660935611244
1770.0,1080.9393783770465,1071.040240349026,1086.3595306683396
1780.0,1080.85965228276,1070.8640874908283,1086.3475814820988
1790.0,1080.7775953921102,1070.6919526827314,1086.3383068078429
1800.0,1080.6966020021673,1070.556484607883,1086.325912996636
1810.0,1080.6161198432214,1070.4139223034654,1086.3178521396096
1820.0,1080.5347122739577,1070.2824949458332,1086.3073545877921
1830.0,1080.4489578200587,1070.123674709941,1086.2931374243155
1840.0,1080.363416797148,1069.9499594679153,1086.2796338760174
1850.0,1080.2833907588306,1069.835680168005,1086.269556852769
1860.0,1080.1985286580225,1069.7205897571548,1086.2571609046354
1870.0,1080.1139298638484,1069.5833374640451,1086.2467463516855
1880.0,1080.031472508615,1069.3925554944813,1086.2356087336414
1890.0,1079.952641842362,1069.238348899184,1086.2268971788556
1900.0,1079.8719229683684,1069.1095807689348,1086.2182762564782
1910.0,1079.7907763488677,1068.9671722762635,1086.207247489813
1920.0,1079.706261385933,1068.772877126392,1086.1934388744194
1930.0,1079.620850682431,1068.658333832189,1086.1800864026936
1940.0,1079.5351368692432,1068.5150860819222,1086.169184635399
1950.0,1079.4478076540731,1068.353728482676,1086.1563453525175
1960.0,1079.3640931040673,1068.2376198392544,1086.1456844278148
1970.0,1079.2789722287134,1068.0837609293972,1086.1320252079045
1980.0,1079.1971134730732,1067.9407530360518,1086.1209084824372
1990.0,1079.1149664798031,1067.7834797849907,1086.1088860983727
2000.0,1079.0345140398465,1067.6530333729252,1086.1008756036638
2010.0,1078.9533323108583,1067.521989044489,1086.0849727971765
2020.0,1078.8678599555196,1067.3790141694462,1086.0679133520023
2030.0,1078.7839017628153,1067.2245329278876,1086.0591697294797
2040.0,1078.6998845687694,1067.0760046002495,1086.046107998389
2050.0,1078.6127688684496,1066.8852652118126,1086.0400786060368
2060.0,1078.5290986470266,1066.7573200469599,1086.025040177933
2070.0,1078.4474944213625,1066.6036024683892,1086.0067881314076
2080.0,1078.3656997163298,1066.4963501697953,1085.995544135636
2090.0,1078.2863985624742,1066.3325856110248,1085.98636474136
